Participant_ID,Proficiency,Overwhelmed_Default_UI_Response,Easy_To_Find_Tools_Default_UI_Response,Confident_Default_UI_Response,Focus_On_Design_Default_UI_Response,Completed_Task_Quickly_Default_UI_Response,Fewer_Mistakes_Default_UI_Response,Efficient_Default_UI_Response,Overwhelmed_Adaptive_UI_Response,Easy_To_Find_Tools_Adaptive_UI_Response,Confident_Adaptive_UI_Response,Focus_On_Design_Adaptive_UI_Response,Completed_Task_Quickly_Adaptive_UI_Response,Fewer_Mistakes_Adaptive_UI_Response,Efficient_Adaptive_UI_Response,Interface_Adapted_Helpful_Adaptive_UI_Response,Adaptability_Improved_Experience_Adaptive_UI_Response,Use_Adaptive_Future_Adaptive_UI_Response,Noticed_Interface_Changing_Adaptive_UI_Response,Extra_Comments
P1,Intermediate,5,2,1,2,3,2,1,1,3,2,4,1,4,2,3,4,3,2,On the whole I really struggled with the base CAD interface...
P2,Novice,5,1,1,2,2,2,1,1,4,5,4,1,3,2,3,4,4,3,The second interface was far superior...
P3,Intermediate,1,3,1,3,3,3,1,2,3,4,3,4,4,4,3,3,4,4,"first one, the focus on the design process..."
P4,Advanced,1,3,3,2,3,2,3,2,5,4,4,5,5,4,3,4,4,3,
P5,Intermediate,2,3,3,2,2,2,2,3,4,3,5,3,3,3,4,4,2,1,The AUI sometimes felt unresponsive...
P6,Novice,1,2,2,2,2,3,3,2,2,3,5,4,3,5,3,4,4,4,
P7,Advanced,3,3,3,2,2,3,3,2,3,5,3,5,3,4,5,4,4,5,
P8,Advanced,2,4,4,3,4,3,4,2,5,5,5,5,4,5,4,4,4,4,"As an expert, I prefer having all tools visible..."
P9,Intermediate,4,3,3,2,2,3,3,3,3,4,3,4,5,3,3,5,4,3,The default UI felt overwhelming at first...
P10,Novice,4,2,2,2,2,2,2,4,2,2,5,3,3,2,5,2,5,4,Strongly preferred the second software...
P11,Advanced,3,4,4,3,2,4,4,2,5,5,3,4,4,5,5,5,4,5,The second interface was less cluttered...
P12,Novice,4,3,4,3,3,2,4,4,4,5,3,3,5,5,4,5,5,3,
P13,Novice,3,4,2,3,3,2,3,2,5,3,4,5,3,3,5,5,5,4,
P14,Advanced,3,3,3,2,3,2,2,3,3,4,2,2,5,3,2,5,4,3,First interface was better in terms of flow...
P15,Intermediate,3,3,3,2,2,3,4,2,4,5,4,5,4,5,5,5,4,3,
P16,Intermediate,4,3,2,2,2,2,2,4,2,1,4,2,1,2,2,5,3,3,The second interface was less cluttered...
P17,Novice,3,2,2,2,2,2,2,2,1,3,5,3,2,3,5,5,5,4,
P18,Advanced,3,4,3,4,2,2,3,1,4,4,4,4,5,4,3,5,5,5,The Adaptive UI's suggestions were mostly good...
