Participant_ID,Proficiency,Task_Completion_Time_Seconds,Number_of_Errors_Backtracking,Task_Success,Missed_Smart_Toolbox,Used_Extra_Tools_Toggle,AUI_Abandonment
P1,Intermediate,519,3,1,1,1,0
P2,Novice,540,3,1,1,1,0
P3,Intermediate,564,4,0,1,1,1
P4,Advanced,382,4,1,1,0,0
P5,Intermediate,536,3,1,1,0,0
P6,Novice,436,2,1,1,0,0
P7,Advanced,476,4,0,1,0,1
P8,Advanced,488,2,1,1,0,0
P9,Intermediate,483,2,1,1,0,0
P10,Novice,665,3,0,1,0,1
P11,Advanced,445,2,1,1,0,0
P12,Novice,414,3,1,1,0,0
P13,Novice,474,3,1,1,0,0
P14,Advanced,381,5,1,1,0,0
P15,Intermediate,576,2,1,1,0,0
P16,Intermediate,466,2,1,1,0,0
P17,Novice,199,1,0,1,0,0
P18,Advanced,372,2,1,0,0,0
