Participant_ID,Proficiency,Task_Completion_Time_Seconds,Number_of_Errors_Backtracking,Task_Success,Missed_Smart_Toolbox,Used_Extra_Tools_Toggle,AUI_Abandonment
P1,Intermediate,657,8,0,1,1,0
P2,Novice,737,5,1,1,1,0
P3,Intermediate,379,5,1,1,1,1
P4,Advanced,452,2,1,1,0,0
P5,Intermediate,546,5,0,1,0,0
P6,Novice,588,4,1,1,0,0
P7,Advanced,419,4,1,1,0,1
P8,Advanced,624,7,0,1,0,0
P9,Intermediate,645,0,1,1,0,0
P10,Novice,629,7,0,1,0,1
P11,Advanced,575,1,1,1,0,0
P12,Novice,578,7,1,1,0,0
P13,Novice,577,3,1,1,0,0
P14,Advanced,558,5,1,1,0,0
P15,Intermediate,528,3,1,1,0,0
P16,Intermediate,470,2,1,1,0,0
P17,Novice,760,9,0,1,0,0
P18,Advanced,541,1,1,0,0,0
